id,country,iso3,gwno,year,geo_id,geolocation,level,adm1,adm2,adm3,location,historical,hist_country,disastertype,disasterno,Latitude,Longitude
7432,Macedonia,MKD,345,1983,12232,Petrovec,1,Petrovec,NA,NA,Skopje,1,Yugoslavia,earthquake,1983-0408,41.89728713,21.69543131
7432,Macedonia,MKD,345,1983,12240,Saraj,1,Saraj,NA,NA,Skopje,1,Yugoslavia,earthquake,1983-0408,41.98539733,21.24384527
7432,Macedonia,MKD,345,1983,12244,Sopiste,1,Sopiste,NA,NA,Skopje,1,Yugoslavia,earthquake,1983-0408,41.85846843,21.32266366
7432,Macedonia,MKD,345,1983,12259,Suto Orizari,1,Suto Orizari,NA,NA,Skopje,1,Yugoslavia,earthquake,1983-0408,42.03153063,21.40736901
7432,Macedonia,MKD,345,1983,12268,Zelenikovo,1,Zelenikovo,NA,NA,Skopje,1,Yugoslavia,earthquake,1983-0408,41.809537,21.56163257
211,Argentina,ARG,160,1977,789,Buenos Aires,1,Buenos Aires,NA,NA,Buenos Aires,0,NA,earthquake,1977-0137,-36.68352662,-60.56597846
281,Australia,AUS,900,1989,1206,New South Wales,1,New South Wales,NA,NA,Newcastle,0,NA,earthquake,1989-0142,-32.16565906,147.0085368
544,Bangladesh,BGD,771,1997,1725,Chittagong,1,Chittagong,NA,NA,Chittagong,0,NA,earthquake,1997-0281,22.71208045,91.73027541
558,Bangladesh,BGD,771,1999,1730,Chittagong,1,Chittagong,NA,NA,Maheshkhali Island,0,NA,earthquake,1999-0228,22.71208045,91.73027541
1133,China,CHN,710,1969,3977,Guangdong,1,Guangdong,NA,NA,Swatow,0,NA,earthquake,1969-0082,23.33519983,113.4152731
1135,China,CHN,710,1975,4510,Liaoning,1,Liaoning,NA,NA,Anshan Liaoning,0,NA,earthquake,1975-0017,41.2989153,122.6076547
1142,China,CHN,710,1981,4636,Sichuan,1,Sichuan,NA,NA,Sichuan province,0,NA,earthquake,1981-0026,30.61575411,102.7099641
